date,revenue,orders,aov
2017-05-09,1662111.18,126,13191.358571428571
2017-05-10,1667319.389999998,120,13894.328249999984
2017-05-11,1450987.3799999985,128,11335.838906249988
2017-05-12,947371.8599999994,110,8612.47145454545
2017-05-13,678323.7000000001,75,9044.316
2017-05-14,1156268.9699999993,112,10323.830089285708
2017-05-15,1434516.749999999,155,9254.946774193542
2017-05-16,1696892.3999999985,157,10808.231847133748
2017-05-17,1474069.409999999,146,10096.365821917801
2017-05-18,1476450.1799999995,133,11101.129172932327
2017-05-19,1422640.0799999991,147,9677.823673469382
2017-05-20,837094.6800000004,70,11958.495428571434
2017-05-21,1393840.6199999992,148,9417.842027027022
2017-05-22,1945927.4399999978,152,12802.154210526302
2017-05-23,1394846.6399999992,129,10812.764651162785
2017-05-24,1897516.2599999986,151,12566.33284768211
2017-05-25,1214222.31,109,11139.654220183487
2017-05-26,844210.3500000002,83,10171.20903614458
2017-05-27,1076192.8200000003,81,13286.331111111114
2017-05-28,756988.3799999998,102,7421.454705882351
2017-05-29,1428389.6399999987,155,9215.417032258056
2017-05-30,1095399.7199999995,104,10532.68961538461
2017-05-31,1554528.5999999996,127,12240.382677165351
2017-06-01,1558431.629999999,126,12368.504999999992
2017-06-02,1508520.5099999988,128,11785.316484374991
2017-06-03,847114.1999999994,93,9108.75483870967
2017-06-04,1108428.3900000001,106,10456.871603773587
2017-06-05,1875561.0299999998,147,12758.91857142857
2017-06-06,1100621.9699999995,132,8338.045227272723
2017-06-07,1019401.5600000004,129,7902.337674418608
2017-06-08,1479750.2999999986,138,10722.828260869555
2017-06-09,1295150.3099999991,114,11360.96763157894
2017-06-10,641432.79,79,8119.402405063292
2017-06-11,1139605.6500000001,113,10085.00575221239
2017-06-12,1163871.089999999,126,9237.072142857134
2017-06-13,1134849.7799999996,133,8532.705112781952
2017-06-14,1625212.1699999992,136,11950.089485294113
2017-06-15,1000516.2299999994,113,8854.125929203534
2017-06-16,1004122.3499999996,95,10569.708947368417
2017-06-17,893587.3199999994,75,11914.497599999992
2017-06-18,1286121.6899999992,97,13258.986494845352
2017-06-19,1786606.1999999993,154,11601.338961038957
2017-06-20,861623.73,90,9573.597
2017-06-21,497821.94999999984,36,13828.387499999995
2017-06-22,696941.9099999996,93,7493.99903225806
2017-06-23,1018570.2299999999,107,9519.347943925233
2017-06-24,658411.8300000001,77,8550.802987012989
2017-06-25,1376305.2899999986,101,13626.785049504937
2017-06-26,1050099.6600000001,67,15673.129253731346
2017-06-27,1352872.7099999986,144,9394.94937499999
2017-06-28,1175566.8599999994,122,9635.793934426225
2017-06-29,986749.9199999996,114,8655.701052631575
2017-06-30,1035214.1999999994,99,10456.709090909084
2017-07-01,920952.4500000001,83,11095.812650602411
2017-07-02,908402.04,105,8651.448
2017-07-03,1235172.6,118,10467.564406779662
2017-07-04,1230780.8699999999,128,9615.475546874999
2017-07-05,1670809.5899999992,147,11366.051632653056
2017-07-06,1680681.1499999987,145,11590.904482758611
2017-07-07,1065015.0899999996,117,9102.693076923073
2017-07-08,825008.7599999999,85,9705.985411764705
2017-07-09,656560.9799999996,91,7214.95582417582
2017-07-10,1410733.08,148,9531.980270270271
2017-07-11,1546486.7399999988,165,9372.646909090901
2017-07-12,1507970.069999999,154,9792.013441558434
2017-07-13,1156502.7899999993,138,8380.454999999994
2017-07-14,1506987.6299999987,157,9598.647324840756
2017-07-15,880653.0599999999,103,8550.029708737864
2017-07-16,1029127.2299999995,117,8795.959230769227
2017-07-17,1723724.8199999996,170,10139.55776470588
2017-07-18,2261265.749999999,195,11596.23461538461
2017-07-19,1305610.1099999992,152,8589.540197368415
2017-07-20,1447958.6999999993,148,9783.504729729724
2017-07-21,1022226.4799999988,119,8590.138487394948
2017-07-22,924126.48,92,10044.85304347826
2017-07-23,959406.9299999997,105,9137.208857142854
2017-07-24,1480075.2899999996,168,8809.971964285713
2017-07-25,1355025.5999999992,151,8973.67947019867
2017-07-26,870317.9999999988,117,7438.615384615375
2017-07-27,1267270.3800000004,130,9748.233692307695
