product_category_name,revenue,orders,avg_price,avg_freight,month
fashion_roupa_masculina,6218.099999999996,1,126.89999999999992,32.21000000000002,2017-01
climatizacao,32521.299999999967,3,165.92499999999984,18.66499999999999,2017-01
fashion_calcados,1710.1000000000013,1,34.90000000000003,14.110000000000008,2017-01
eletronicos,59723.649999999994,14,64.14999999999999,17.71842105263159,2017-02
automotivo,605580.2199999997,75,148.90096385542162,23.407831325301206,2017-02
telefonia,327973.66000000003,95,63.144716981132085,15.814150943396212,2017-02
relogios_presentes,538627.1099999996,32,333.10272727272707,16.115454545454547,2017-02
ferramentas_jardim,574996.3799999998,60,170.06695652173906,21.1059420289855,2017-02
market_place,77136.77999999998,17,78.71099999999998,18.4115,2017-02
papelaria,114728.59999999998,19,123.23157894736839,16.03315789473684,2017-02
audio,8026.200000000001,5,32.760000000000005,16.810000000000002,2017-02
