month,customer_state,revenue,orders
2017-12,pr,1912674.7200000028,260
2017-12,rs,2679878.480000002,278
2017-12,df,1077099.5199999996,129
2017-12,pa,666894.7199999997,58
2017-12,sc,1551032.9600000018,192
2017-12,al,143511.68,13
2017-12,pi,169402.87999999992,23
2017-12,ro,124773.12000000002,11
2017-12,mt,577100.7999999999,49
2017-12,rn,202780.79999999984,30
2017-12,to,93248.63999999997,14
2017-12,se,201457.91999999987,20
2018-01,sc,2380328.3200000017,311
2018-01,pr,2816870.400000003,372
2018-01,es,1286106.8800000001,145
2018-01,pa,895223.6799999998,69
2018-01,go,1069650.559999999,144
2018-01,df,1115883.52,135
2018-01,al,319409.9199999998,36
2018-01,rn,353782.39999999985,42
2018-01,pb,435218.55999999976,31
2018-01,ro,146352.63999999998,20
2018-01,pi,430346.8799999999,47
2018-01,rr,8256.0,1
2018-01,to,135746.55999999997,16
2018-01,ms,646448.6399999997,70
2018-01,ce,772106.2399999996,77
2018-01,sp,23593635.360000003,2979
2018-01,rs,2957714.560000002,367
2018-01,rj,7506338.239999996,851
2018-01,mg,7268128.319999998,847
2018-01,mt,674284.7999999995,83
2018-01,pe,892328.3199999996,102
2018-01,am,187241.6,12
2018-01,se,194451.1999999999,19
2018-01,ba,2329288.96,228
2018-01,ma,557217.2799999999,55
2018-01,ap,153194.87999999995,11
2018-01,ac,56508.16,6
2018-02,es,1087624.3199999996,149
2018-02,pe,1065857.919999999,121
2018-02,df,1353310.7200000002,170
2018-02,sc,2040720.0000000014,254
2018-02,ce,631761.9199999995,84
2018-02,rs,2967040.6400000006,363
2018-02,mt,523052.1599999997,67
2018-02,ro,101080.31999999995,13
2018-02,pa,570989.44,57
2018-02,rn,205111.67999999996,23
2018-02,al,293956.48,27
2018-02,to,168681.59999999995,20
2018-02,am,129831.67999999996,8
2018-02,rr,8319.359999999999,3
2018-02,ms,549964.1599999997,64
2018-02,sp,19705744.08,2637
2018-02,rj,7074483.279999993,883
2018-02,ba,2021313.2800000017,208
2018-02,pr,2863403.680000002,336
2018-02,mg,6831638.799999995,792
2018-02,go,1132942.7199999993,146
2018-02,pi,269492.4799999999,32
2018-02,se,287162.24,15
2018-02,pb,304051.19999999984,35
2018-02,ma,632179.8399999996,55
2018-02,ac,12917.120000000004,3
2018-02,ap,64505.599999999984,2
2018-03,ba,2238458.720000003,236
2018-03,rj,7237792.559999998,866
2018-03,sc,2323223.040000002,247
2018-03,ms,449021.9199999997,58
2018-03,sp,24126348.39999999,2976
2018-03,ma,506480.6399999997,49
2018-03,ac,6259.2000000000035,2
2018-03,mg,7349709.999999995,856
2018-03,es,1099057.2799999993,133
2018-03,pr,3198703.2000000016,369
2018-03,ce,1161976.96,93
2018-03,rs,3593617.600000002,409
2018-03,am,62282.24,8
2018-03,ro,174520.96,13
2018-03,to,292723.8399999999,20
2018-03,df,1313313.9200000002,147
2018-03,pi,419666.56,34
2018-03,go,1157210.2399999998,141
2018-03,se,161818.8799999999,17
2018-03,rn,459771.5199999998,38
2018-03,pe,1452952.9600000004,107
2018-03,pb,389567.99999999977,39
2018-03,mt,525679.3599999998,52
2018-03,pa,763981.4399999996,67
2018-03,ap,34264.95999999999,5
2018-03,al,410044.7999999999,27
2018-03,rr,109105.92000000004,5
2018-04,rj,7616053.919999996,808
2018-04,pr,4220389.840000001,382
2018-04,df,1163954.5599999994,146
2018-04,mg,7031744.000000003,779
2018-04,pi,663362.5599999999,34
2018-04,es,996132.4799999995,140
2018-04,go,1205674.88,132
2018-04,to,274676.48000000004,19
2018-04,rr,45609.6,2
2018-04,ro,223985.28,11
2018-04,se,199002.87999999998,13
2018-04,rs,3205348.8000000017,345
2018-04,pe,1092583.0399999996,110
2018-04,ba,1938327.1200000006,217
2018-04,rn,384111.36,32
2018-04,sp,25037309.040000007,3005
2018-04,sc,2851575.0400000033,245
2018-04,ap,52652.80000000005,5
2018-04,mt,726687.3599999996,64
2018-04,ma,507515.51999999996,46
2018-04,ms,375671.1999999996,43
2018-04,pb,269775.9999999999,28
2018-04,pa,713982.7199999994,66
2018-04,ce,1051004.1599999995,96
2018-04,al,381198.7200000001,27
2018-04,am,42738.56,6
2018-04,ac,27070.719999999983,4
2018-05,ce,766195.8399999995,73
2018-05,sp,27182971.600000013,3140
2018-05,mg,6513190.399999996,752
2018-05,ma,453378.56,32
2018-05,df,1611686.4000000004,140
2018-05,go,1529936.0,136
2018-05,rj,7942054.400000002,817
2018-05,pr,2951959.600000002,308
2018-05,pi,427245.44000000006,30
2018-05,rn,270913.2799999999,22
2018-05,pb,311068.16000000003,29
2018-05,ro,144335.3599999999,17
2018-05,se,69323.51999999996,8
2018-05,ap,61163.519999999975,6
2018-05,rr,5753.599999999996,1
2018-05,sc,2285056.0000000023,226
2018-05,ba,2236988.2400000016,237
2018-05,to,175359.35999999996,16
2018-05,es,1193781.7599999998,132
2018-05,rs,3232099.200000002,350
2018-05,pa,480760.95999999973,41
2018-05,mt,784758.3999999996,66
2018-05,pe,869377.9199999995,102
2018-05,am,115955.20000000001,9
2018-05,ms,635075.8399999999,44
2018-05,al,234053.76000000007,19
2018-05,ac,87352.96000000002,2
2018-06,mg,6767870.080000001,714
2018-06,sp,21791564.79999998,2741
2018-06,go,918915.8399999993,105
2018-06,pr,2701782.240000001,307
2018-06,pi,310124.79999999993,29
2018-06,ms,568783.9999999998,49
2018-06,sc,2095406.0800000022,205
2018-06,se,210318.08000000013,25
2018-06,ce,1036746.8799999997,72
2018-06,rn,415581.43999999994,35
2018-06,to,259162.88,18
2018-06,ma,378206.72,41
2018-06,es,1094589.4399999997,123
2018-06,df,1231796.48,147
2018-06,rj,6408408.159999997,708
2018-06,al,238758.39999999997,24
2018-06,ro,122980.48000000001,11
2018-06,ba,2221413.120000002,198
2018-06,mt,661458.5599999982,58
2018-06,pe,910844.1599999993,91
2018-06,rs,2822005.1200000024,304
2018-06,pa,595325.4399999997,54
2018-06,rr,85247.35999999991,5
2018-06,am,59182.07999999995,7
2018-06,pb,831605.1199999999,28
2018-06,ac,27385.59999999999,3
2018-06,ap,10718.719999999983,2
2018-07,go,1312211.200000001,112
2018-07,pe,1560114.56,137
2018-07,df,1451868.1600000008,165
2018-07,pb,972075.5199999999,51
2018-07,se,276438.39999999997,26
2018-07,rn,538587.5200000001,29
2018-07,mt,678376.9599999997,47
2018-07,am,128314.23999999995,18
2018-07,ap,86453.76000000004,6
2018-07,ac,94078.08000000025,4
2018-07,sp,20589546.959999986,2723
2018-07,sc,1979135.360000003,195
2018-07,rs,2517560.1600000015,309
2018-07,ma,377308.16,39
2018-07,rj,6213342.399999997,699
2018-07,mg,5911160.639999998,645
2018-07,ba,2679616.6400000015,245
2018-07,to,167274.87999999992,22
2018-07,ms,435893.11999999994,49
2018-07,pi,444165.2799999998,33
2018-07,pr,2886749.600000002,314
2018-07,ce,863194.8799999995,84
2018-07,pa,844540.1599999998,57
2018-07,es,1920087.0400000007,122
2018-07,al,246805.11999999994,22
2018-07,ro,288243.19999999995,16
2018-07,rr,96940.80000000008,5
2018-08,mg,6097578.559999999,700
2018-08,sp,24809882.640000004,3164
2018-08,ba,1351286.4000000004,159
2018-08,df,1272422.3999999994,143
2018-08,pr,2464025.600000001,327
2018-08,ms,355291.5199999998,35
2018-08,pa,571441.9199999999,43
2018-08,go,1153855.3599999994,117
